day,gamma_x,gamma_y,gamma_magnitude,v_raw,r_raw,f_raw,a_raw,S_raw,v_norm,r_norm,f_norm,a_norm,S_norm,notes
44,4.300000000000001,4.300000000000001,6.08111831820431,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
45,4.4,4.4,6.222539674441618,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
46,4.5,4.5,6.363961030678928,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
47,4.6,4.6,6.505382386916237,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
48,4.699999999999999,4.699999999999999,6.646803743153546,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
49,4.799999999999999,4.799999999999999,6.788225099390854,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
50,4.899999999999999,4.899999999999999,6.929646455628164,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
51,4.999999999999998,4.999999999999998,7.071067811865473,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
52,5.099999999999998,5.099999999999998,7.212489168102781,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
53,5.1999999999999975,5.1999999999999975,7.35391052434009,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
54,5.299999999999997,5.299999999999997,7.4953318805774,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
55,5.399999999999997,5.399999999999997,7.636753236814709,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
56,5.4999999999999964,5.4999999999999964,7.778174593052018,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
57,5.599999999999996,5.599999999999996,7.919595949289326,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
58,5.699999999999996,5.699999999999996,8.061017305526637,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
59,5.799999999999995,5.799999999999995,8.202438661763944,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
60,5.899999999999995,5.899999999999995,8.343860018001253,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
61,5.999999999999995,5.999999999999995,8.485281374238562,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
62,6.099999999999994,6.099999999999994,8.626702730475872,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
63,6.199999999999994,6.199999999999994,8.76812408671318,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
64,6.299999999999994,6.299999999999994,8.90954544295049,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
65,6.399999999999993,6.399999999999993,9.0509667991878,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,silence with presence
