Day,M1_Name,S_M1,b_M1,M2_Name,S_M2,b_M2,beta_S,s_S,b_0
0,M1,1,0.17069701424750094,M1,1,0.17069701424750094,3.5,20.0,0.0
7,M1,2,0.3330690368741417,M1,2,0.3330690368741417,3.5,20.0,0.0
14,M1,3,0.48752208251229767,M1,3,0.48752208251229767,3.5,20.0,0.0
21,M1,4,0.6344423642270636,M1,4,0.6344423642270636,3.5,20.0,0.0
28,M1,5,0.774197259250083,M1,5,0.774197259250083,3.5,20.0,0.0
35,M1,6,0.9071362276139874,M1,6,0.9071362276139874,3.5,20.0,0.0
42,M1,7,1.033591685984503,M1,7,1.033591685984503,3.5,20.0,0.0
