Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,64.71626402683364,2.0,32.03616322031696,1.010050167084168
7,M1,78.86162610152897,2.2,37.684067333522925,0.951229424500714
14,M1,94.5528720817346,2.4,43.97804066822633,0.8958341352965282
21,M1,111.73412445492538,2.6,50.93807683632944,0.8436648165963837
28,M1,130.31896568574285,2.8,58.57837553788403,0.7945336025033339
35,M1,164.95244100772734,3.0,73.48232545987565,0.7482635675785652
42,M1,226.8143480461868,3.2,100.58277527115004,0.7046880897187134
0,M1,113.229449457155,2.0,56.05139880528307,1.010050167084168
7,M1,125.82314071008553,2.2,60.124650492621065,0.951229424500714
14,M1,150.85840752467254,2.4,70.16663836005814,0.8958341352965282
21,M1,178.27096851021832,2.6,81.27132454797766,0.8436648165963837
28,M1,207.9229451287224,2.8,93.46136457270583,0.7945336025033339
35,M1,239.63079742286288,3.0,106.74972821779248,0.7482635675785652
42,M1,249.10441887994162,3.2,110.46749907615833,0.7046880897187134
