sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
71,-0.3,0.3,0.4242640687119285,0.1,0.1,0.1,0.9,10,0.0,0.7576271708345532,7.793512037039231,0.005899470863415603,0.002502933511760178
72,-1.5,2.0,2.5,0.7,0.7,0.9,0.3,20,0.6,2.9273968098799643,23.833805700651318,59.88537462701896,149.7134365675474
72,-0.3,0.3,0.4242640687119285,0.7,0.7,0.9,0.3,20,0.6,2.9273968098799643,23.833805700651318,59.88537462701896,25.407212695597153
73,-1.5,2.0,2.5,0.3,0.7,0.7,0.9,0,0.6,3.9724214889592058,32.45404285049363,11.357808879670994,28.394522199177487
73,-0.3,0.3,0.4242640687119285,0.3,0.7,0.7,0.9,0,0.6,3.9724214889592058,32.45404285049363,11.357808879670994,4.818710206941686
74,-1.5,2.0,2.5,0.1,0.1,0.1,0.9,20,0.8,3.3694623451077588,19.065423483622283,0.06779115599266346,0.16947788998165864
74,-0.3,0.3,0.4242640687119285,0.1,0.1,0.1,0.9,20,0.8,3.3694623451077588,19.065423483622283,0.06779115599266346,0.028761351664132434
75,-1.5,2.0,2.5,0.5,0.9,0.3,0.5,40,0.0,0.5091215181453095,7.663642416770067,2.5685153770219435,6.421288442554859
75,-0.3,0.3,0.4242640687119285,0.5,0.9,0.3,0.5,40,0.0,0.5091215181453095,7.663642416770067,2.5685153770219435,1.0897287844044827
76,-1.5,2.0,2.5,0.3,0.5,0.9,0.9,0,0.0,0.5401850409331773,7.9264302533275215,5.724457047271381,14.311142618178451
76,-0.3,0.3,0.4242640687119285,0.3,0.5,0.9,0.9,0,0.0,0.5401850409331773,7.9264302533275215,5.724457047271381,2.4286814380420285
77,-1.5,2.0,2.5,0.5,0.9,0.3,0.1,10,0.4,1.8536222037486214,10.635118295900014,0.6957759113280962,1.7394397783202407
77,-0.3,0.3,0.4242640687119285,0.5,0.9,0.3,0.1,10,0.4,1.8536222037486214,10.635118295900014,0.6957759113280962,0.2951927190518081
78,-1.5,2.0,2.5,0.1,0.5,0.1,0.9,20,0.0,0.5671731375147315,6.749553747349859,0.06001182655844461,0.1500295663961115
78,-0.3,0.3,0.4242640687119285,0.1,0.5,0.1,0.9,20,0.0,0.5671731375147315,6.749553747349859,0.06001182655844461,0.025460861706520278
79,-1.5,2.0,2.5,0.5,0.9,0.9,0.9,40,0.2,0.7248236953387057,4.236740508715988,127.50124777390796,318.7531194347699
79,-0.3,0.3,0.4242640687119285,0.5,0.9,0.9,0.9,40,0.2,0.7248236953387057,4.236740508715988,127.50124777390796,54.09419814640591
80,-1.5,2.0,2.5,0.1,0.1,0.5,0.9,40,0.6,2.4572856110069257,31.792517110146417,0.37079430173739764,0.9269857543434941
